,models,mse,ljb,error_var,notes
0,Holt-Winters,80324.1355,17055.560919432104,10564.770176512571,Flat prediction
1,Average-Method,11074.3459,21037.197589952168,11070.312502421273,Slightly better
2,Naive-Method,5381.1617,1129.4029619715498,5381.161484222993,Slightly better
3,Drift-Method,5385.1842,1128.9660496604856,5385.184080305122,Slightly better
4,SES-Method,5717.6955,2705.998085198953,5717.69456138823,Slightly better
5,Linear-Regression,9416.3834,13410.67115715873,9416.383445838874,Likely best
6,ARMA-3-0,4614.1882,40.116972916259854,4614.188083435056,slightly worse
7,ARMA-3-3,4527.7083,1.1458816883351817,4527.708207553949,Likely best
8,"ARIMA(3,0,0)x(0,3,0,12)",57567.6779,,57571.32236805944,Likely best
9,LSTM,11357.4709,16849.99477507038,11356.61888315565,150 epochs
10,LSTM,11357.4709,16849.99477507038,11356.61888315565,150 epochs
11,LSTM,11357.4709,16849.99477507038,11356.61888315565,150 epochs
